project_id,client_id,project_name,start_date,end_date,budget_eur,status
182,18,Cybersecurity Risk Assessment,2023-11-01,2023-11-01,154538,Ongoing
183,13,Compliance & Risk Audit,2023-01-10,2023-01-10,22469,Planned
184,27,Financial Process Redesign,2023-04-24,2023-04-24,143141,Delayed
185,23,Customer Journey Mapping,2023-01-22,2023-01-22,49405,Ongoing
186,32,HR Automation Rollout,2023-07-31,2023-07-31,50457,Planned
187,50,Marketing Analytics Implementation,2023-04-21,2023-04-21,57233,Delayed
188,8,Client Segmentation Analysis,2023-01-18,2023-01-18,102567,Completed
189,8,Digital Transformation Strategy,2023-10-03,2023-10-03,196188,Completed
190,22,Customer Journey Mapping,2023-07-10,2023-07-10,41342,Planned
191,21,Operational Efficiency Review,2023-06-20,2023-06-20,130183,Planned
192,43,Digital Strategy Overhaul,2023-05-05,2023-05-05,197334,Delayed
193,49,Marketing Analytics Implementation,2023-02-17,2023-02-17,184944,Completed
194,31,HR Automation Rollout,2023-01-31,2023-01-31,189723,Planned
195,15,GDPR Compliance Roadmap,2023-11-20,2023-11-20,167203,Ongoing
196,31,IT Infrastructure Upgrade,2023-11-10,2023-11-10,31659,Planned
197,16,CRM Integration Project,2023-02-06,2023-02-06,161161,Planned
198,42,Operational Efficiency Review,2023-02-12,2023-02-12,134823,Completed
199,48,IT Infrastructure Upgrade,2023-05-30,2023-05-30,75475,Ongoing
200,47,Marketing Analytics Implementation,2023-02-24,2023-02-24,97696,Planned
